,n=50,n=100,n=500,n=1000
"e=0.1,d=2",0.02,0.03,0.02,0.05
"e=1,d=0",0.03,0.02,0.02,0.03
"e=1.05,d=-3",0.06,0.06,0.05,0.05
"e=1.5,d=-5",0.05,0.06,0.06,0.05
"e=5,d=-10",0.11,0.18,0.23,0.46
