,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.788,0.784,0.779443312166917,0.7211179433357531,0.00037588740646436015,0.00165374969575122,0.0003598474466839813,50,0.0,0.0,0.0,1000,191664963
1,0.6,0.604,0.5710626920570302,0.6472728398059562,0.0005164476768893991,0.006607061827585776,0.00408817697659973,50,0.0,0.0,0.0,1000,1662057957
2,0.472,0.459,0.4545696283238396,0.5377445410873531,0.003220924660362719,0.010610745506054309,0.00978141236761577,50,0.0,0.0,0.0,1000,1405681631
3,0.685,0.686,0.6860549238110376,0.2539236033945696,0.001962323468527387,0.003127351802318779,0.004889032044246808,50,0.0,0.0,0.0,1000,942484272
4,0.255,0.255,0.24451655438398795,0.41092297417497925,0.04642338644691943,0.02916540915381272,0.0006254120824803713,50,0.0,0.0,0.0,1000,929893137
5,0.215,0.216,0.22620393063673744,0.4848905138978843,0.0026704834405978576,0.029147894004060673,0.007440936336174388,50,0.0,0.0,0.0,1000,1843824992
6,0.676,0.648,0.6436962521228584,0.7912000813308563,0.03182424220076367,0.0033473760008939668,0.0023929452007742705,50,0.0,0.0,0.0,1000,184566854
7,0.591,0.544,0.6065704220931787,0.6021397912242532,0.0022510653260233156,0.006220319647386309,0.0063615069565787965,50,0.0,0.0,0.0,1000,1497586438
8,0.726,0.726,0.7230630909348243,0.603150726190121,0.0006716378866450587,0.0028403369952185154,0.00319473410906476,50,0.0,0.0,0.0,1000,432652533
9,0.331,0.276,0.17237217351205103,0.1756013834404689,0.04770595605955588,0.02197619425198394,0.03620916063136969,50,0.0,0.0,0.0,1000,202244314
10,0.029,0.023,0.0306238344400763,0.02966532570865876,0.016428782897398866,0.0968409772720743,0.0013656838223382321,50,0.0,0.0,0.0,1000,1130604997
11,0.54,0.537,0.553370439047159,0.6212082131263057,1.7871563839233395e-06,0.007515389137252432,0.0031634377925749174,50,0.0,0.0,0.0,1000,2095133045
12,0.857,0.858,0.996008587127524,0.8654109597242332,0.045119195816892395,0.000696652461684982,0.01628330332907645,50,0.0,0.0,0.0,1000,1580016183
13,0.782,0.797,0.7474336289398166,0.6876872157589786,0.032470120460549916,0.001596728180185497,0.0012753356343249706,50,0.0,0.0,0.0,1000,1634535062
14,0.241,0.246,0.11293332156861816,0.25280838382643045,0.06173612469323077,0.029466161217664922,0.03510885500602937,50,0.0,0.0,0.0,1000,1540770719
15,0.24,0.277,0.2606128434976769,0.27392997866089536,0.022350491268177848,0.02625078082435461,1.0415673273990497e-08,50,0.0,0.0,0.0,1000,1688060240
16,0.368,0.367,0.3391230488411039,0.43790322256711056,0.007568463475621805,0.017706618247253197,0.004151000205637123,50,0.0,0.0,0.0,1000,1102145672
17,0.064,0.063,0.0697881824218893,0.17067322641734914,0.00800704064295258,0.07385955563946282,0.029906141407132582,50,0.0,0.0,0.0,1000,275121930
18,0.539,0.537,0.43303369311356943,0.5310623765695177,0.05141740929861135,0.007500932992402653,0.011533307124233257,50,0.0,0.0,0.0,1000,1803345590
19,0.97,0.96,0.7853343867785312,0.9911049324613111,0.05612954502944448,5.6808233458921224e-05,0.017033062981220422,50,0.0,0.0,0.0,1000,967196436
20,0.828,0.827,0.7999862396661801,0.8902628970007304,0.001385915999169839,0.001284407560518366,0.0011379293077797825,50,0.0,0.0,0.0,1000,1074497555
21,0.656,0.645,0.5543913389489104,0.5558147452860078,0.028887118839637186,0.004288293036920584,0.012813486324029176,50,0.0,0.0,0.0,1000,796282693
22,0.225,0.247,0.35607891735375274,0.37523997010232957,0.08639526269993261,0.02939083267656665,0.022546637592454243,50,0.0,0.0,0.0,1000,392022359
23,0.109,0.109,0.11570225654125627,0.0973120215899113,0.0037281797182978555,0.05476096724914037,0.02499815944629541,50,0.0,0.0,0.0,1000,1990212658
24,0.538,0.511,0.5337098497527566,0.4018149906342615,0.00036249420883577305,0.008094327262715376,0.199664282721313,50,0.0,0.0,0.0,1000,1678403330
25,0.359,0.352,0.38187909909560147,0.3938743244214925,0.002775293264220338,0.015846583469304797,0.0009060134559651498,50,0.0,0.0,0.0,1000,1382689815
26,0.921,0.911,0.9388030515031232,0.8972235072321766,0.028317228380282364,0.0002482934721830097,0.025201752416221565,50,0.0,0.0,0.0,1000,864178266
27,0.493,0.498,0.42631048660287507,0.40926315971713034,0.004462441371438798,0.009895364781195452,0.043692601345218886,50,0.0,0.0,0.0,1000,1766867109
28,0.468,0.489,0.7194679813887368,0.8537254508285419,0.07447391034489352,0.011975052988958105,0.048396692361665834,50,0.0,0.0,0.0,1000,1171300112
29,0.034,0.041,0.03392834877135804,0.08886919613129057,0.00036341040064288203,0.08861347133216971,0.02068682988365027,50,0.0,0.0,0.0,1000,952224740
30,0.489,0.49,0.44934224801647593,0.20290105096565889,0.002586993993217068,0.01041170645043964,0.020477387484485143,50,0.0,0.0,0.0,1000,967354524
31,0.248,0.238,0.22980089434063117,0.2664255467270173,0.024723437941584697,0.03059376795988775,0.00022592565293948823,50,0.0,0.0,0.0,1000,487991438
32,0.381,0.395,0.45296903514306497,0.5454963330231264,0.009230473947883542,0.01716458205517519,0.07222739428416945,50,0.0,0.0,0.0,1000,197860368
33,0.103,0.108,0.10913539181507079,0.18656497587835774,0.0034757588446335955,0.056910957108621506,0.0794493955708302,50,0.0,0.0,0.0,1000,1190961760
34,0.374,0.363,0.4366923337414512,0.4040773849034671,0.01670843045119455,0.01884182992354308,0.04370682572093078,50,0.0,0.0,0.0,1000,1906728918
35,0.784,0.774,0.7933861607212762,0.8235875994258159,0.018164195579838838,0.001518421155626159,4.7021090435790004e-05,50,0.0,0.0,0.0,1000,137046513
36,0.707,0.714,0.6849723235829843,0.3261311530478902,0.012183756946699134,0.003299423351488656,0.00021759670385383852,50,0.0,0.0,0.0,1000,1843166518
37,0.008,0.009,0.00813143821967256,0.08396943694200021,0.0022389775977359892,0.13775225923485077,0.0017973831280875953,50,0.0,0.0,0.0,1000,1777324407
38,0.17,0.161,0.1227563290193494,0.165289727138802,0.015859243111056735,0.042062724788317074,0.014177731947744377,50,0.0,0.0,0.0,1000,594336917
39,0.472,0.469,0.4739600189217159,0.6491485429574574,0.0011903538808048873,0.011624676219233571,0.01215372191444036,50,0.0,0.0,0.0,1000,1356488967
40,0.545,0.564,0.5393973379158284,0.4796477423320613,0.035923849926749345,0.006563974259122389,0.0014062793208359215,50,0.0,0.0,0.0,1000,354826746
41,0.557,0.574,0.5040963218876279,0.692648826999962,0.020971788055224573,0.005955050282176175,0.016710755160375085,50,0.0,0.0,0.0,1000,1627981024
42,0.742,0.707,0.7048690877101088,0.7692269555643763,0.0027445572772870066,0.002735358850240965,0.0033437447824016518,50,0.0,0.0,0.0,1000,1504361614
43,0.467,0.665,0.5528219791080045,0.9619903188920456,0.013734024182094334,0.010483380633253627,0.021116197690339743,50,0.0,0.0,0.0,1000,761338718
44,0.892,0.884,0.8962994669191482,0.7550376830740013,8.069804665945847e-06,0.00036854843828745576,0.001182564826290097,50,0.0,0.0,0.0,1000,145857092
45,0.942,0.948,0.9399269982380767,0.5611843257171667,0.03165987047694095,7.715866244922424e-05,0.012124612031224504,50,0.0,0.0,0.0,1000,2084558133
46,0.502,0.496,0.5457864504779644,0.8474613849356194,0.03535950004478239,0.008209574051049807,0.000406315335635584,50,0.0,0.0,0.0,1000,957106589
47,0.487,0.493,0.5370134979348773,0.7419003139107986,0.01184875654708976,0.009111531559424884,0.002814980906819942,50,0.0,0.0,0.0,1000,1917963002
48,0.385,0.384,0.38723327486320513,0.21342579934349687,0.00021884156256585553,0.016120902102141114,0.00426627416302562,50,0.0,0.0,0.0,1000,1455819991
49,0.105,0.09,0.10988825829156322,0.7152251382058301,0.030650823602613363,0.058517158290798114,0.007412339168872037,50,0.0,0.0,0.0,1000,1671565830
50,0.874,0.87,0.8629806874380173,0.8566352601863972,0.00022960666316070025,0.000784280873031024,0.0479567983683647,50,0.0,0.0,0.0,1000,1631871623
51,0.959,0.933,0.9710145062815942,0.5918232005621302,0.012823844223979584,0.00011430999539778254,0.0022768583767327362,50,0.0,0.0,0.0,1000,417983441
52,0.183,0.161,0.14965898246170375,0.1683206899448498,0.04729835057106899,0.03701575746997307,0.0026826855173299846,50,0.0,0.0,0.0,1000,781482251
53,0.312,0.309,0.40564095845981796,0.4413475095339443,0.008387391117730672,0.020834642840635346,0.10775334693112402,50,0.0,0.0,0.0,1000,1002275723
54,0.763,0.772,0.7993286665859183,0.8218626874296608,0.07168316687246241,0.0017442647690747704,0.00048027842244548137,50,0.0,0.0,0.0,1000,1068999196
55,0.02,0.02,0.015684153679180014,0.01817994823193554,0.0005002464072338382,0.11114439969090174,0.03392362763935349,50,0.0,0.0,0.0,1000,94067870
56,0.429,0.433,0.4550779298580272,0.3770975641296713,0.00016939893772590137,0.012094220450251107,0.01456997603101659,50,0.0,0.0,0.0,1000,1173749071
57,0.918,0.919,0.9772665875225088,0.9589362463594966,0.02054989758220923,0.00026713406274484234,0.007271080731510819,50,0.0,0.0,0.0,1000,331334160
58,0.307,0.332,0.3589253314411508,0.33769708122307507,0.05260245460752009,0.020407321057789654,0.0030658738592926347,50,0.0,0.0,0.0,1000,1596387604
59,0.239,0.243,0.19264366510181646,0.34471990607630676,0.09626186637229583,0.025607069631765594,0.0039865021393267535,50,0.0,0.0,0.0,1000,1466836456
60,0.557,0.574,0.4682070080133701,0.6718228008974678,0.04313040496374904,0.007061175992706005,0.008620436526112404,50,0.0,0.0,0.0,1000,1981113449
61,0.908,0.892,0.8131927654225136,0.982898918400596,0.013654335998768804,0.00037097875149623064,0.016182965213756992,50,0.0,0.0,0.0,1000,1599364550
62,0.488,0.494,0.4692485542991296,0.33834472032742624,0.006085939675093352,0.009277528194253004,0.012009570371954622,50,0.0,0.0,0.0,1000,787359109
63,0.237,0.242,0.2539101719068942,0.30336422929260665,0.0026704443109197913,0.027714857201093512,0.00012190919388320241,50,0.0,0.0,0.0,1000,2077711328
64,0.221,0.229,0.30202963527964205,0.2681973512632886,0.056896696328522574,0.027089986079558762,0.0062844614681465075,50,0.0,0.0,0.0,1000,882294416
65,0.506,0.508,0.5160669163766349,0.40608994315437363,6.198415937094706e-05,0.009087363606015121,0.004461779241646188,50,0.0,0.0,0.0,1000,699704628
66,0.868,0.875,0.86321237438677,0.6852414271724783,0.0007114532024363237,0.0007869503936581316,0.012287710998156424,50,0.0,0.0,0.0,1000,1944623248
67,0.233,0.229,0.1980514145040042,0.11948483161126047,0.004260133001776459,0.031146413633962148,0.01726138653760968,50,0.0,0.0,0.0,1000,795556160
68,0.791,0.805,0.8680480210711261,0.802253519973047,0.027294264709753845,0.0015054658267899227,0.008104740843096111,50,0.0,0.0,0.0,1000,163945743
69,0.105,0.123,0.11123406927901654,0.14334937638565992,0.008573070129932284,0.051449620765917234,0.0007294873750302504,50,0.0,0.0,0.0,1000,1008363426
70,0.961,0.96,0.956539311161787,0.9124106200891747,0.0001834209840583988,5.24211336464676e-05,0.002974036677112369,50,0.0,0.0,0.0,1000,1708709735
71,0.403,0.397,0.4178792547271839,0.42579295247228766,0.003905303454426888,0.0140786154428269,6.687263110623499e-05,50,0.0,0.0,0.0,1000,406886644
72,0.39,0.393,0.3570276829819288,0.2700186175129391,0.059085757297404104,0.01536237280451749,0.0006990073691391099,50,0.0,0.0,0.0,1000,994157306
73,0.812,0.812,0.8868539922715941,0.8802716018032646,0.0038623205119204603,0.0011516935034670247,0.04803052247386445,50,0.0,0.0,0.0,1000,279004307
74,0.471,0.487,0.5028067400548837,0.48842107927272305,0.020609238632524642,0.01015335309906704,0.0006961130628112929,50,0.0,0.0,0.0,1000,1474200731
75,0.627,0.637,0.5992200238269916,0.22797675647429916,0.009756608406561876,0.005059056022197558,0.0029167329750267035,50,0.0,0.0,0.0,1000,1021568549
76,0.346,0.347,0.3703313057188272,0.11601790147566275,0.009906540530420862,0.017786174204697084,0.0010862333578141208,50,0.0,0.0,0.0,1000,709091226
77,0.265,0.262,0.2211455360383192,0.31401024820230716,0.010179432730648403,0.02563973296585985,0.022054114916820636,50,0.0,0.0,0.0,1000,487284116
78,0.236,0.271,0.26552838603543827,0.25085023047090027,0.004050390053717035,0.02519657100360547,0.0021536237477580798,50,0.0,0.0,0.0,1000,1212254290
79,0.313,0.326,0.4404641993668822,0.31920595425764486,0.03499859756244835,0.020774523969507085,0.03572734392676232,50,0.0,0.0,0.0,1000,1438414599
80,0.27,0.273,0.2543735107075459,0.2712885486066743,0.005116369409448982,0.027126393178075532,0.00013857447963025465,50,0.0,0.0,0.0,1000,2019291964
81,0.805,0.812,0.825915372352161,0.8323536134364569,0.018048144600425056,0.0013703005606951566,0.0014344239987698257,50,0.0,0.0,0.0,1000,938776596
82,0.278,0.277,0.2974397454580059,0.1482127612347686,0.0019442837950423958,0.02305971283306577,4.978176497832364e-06,50,0.0,0.0,0.0,1000,345075200
83,0.045,0.048,0.057528144387005535,0.0730826715895141,0.002885008687163273,0.0740528886632488,0.00014661624512158123,50,0.0,0.0,0.0,1000,1788162809
84,0.72,0.716,0.8206761754836527,0.2869745141484897,0.12454350195640039,0.002573068019742964,0.0031100349985835507,50,0.0,0.0,0.0,1000,1352408538
85,0.831,0.827,0.8295564462921647,0.27925832517119764,0.0019325367645766636,0.000918610823772912,0.0007563236909369226,50,0.0,0.0,0.0,1000,1503807854
86,0.081,0.08,0.046762575458603586,0.12099433988203895,0.0027326731658222116,0.06876221833599132,0.06550512959035033,50,0.0,0.0,0.0,1000,208792607
87,0.354,0.358,0.35759448848678055,0.2889275369374909,0.004935055889450329,0.018054186820144612,3.358471672624487e-05,50,0.0,0.0,0.0,1000,670802254
88,0.112,0.106,0.11948052679911438,0.12529579354948436,0.06414473736376824,0.04877862143032968,0.00012683132318458743,50,0.0,0.0,0.0,1000,1648932249
89,0.495,0.497,0.45627512112052027,0.24726149059398553,0.003520911271512715,0.010700246155523604,0.0068606205232895475,50,0.0,0.0,0.0,1000,1787264313
90,0.687,0.69,0.6191073622936469,0.80699821048957,0.007814210191314811,0.0036783720557638814,0.01626776193057437,50,0.0,0.0,0.0,1000,934620676
91,0.67,0.649,0.6760416836573542,0.7986486243951068,3.178028118839333e-05,0.0037658295971170416,0.02297447349858102,50,0.0,0.0,0.0,1000,1728218297
92,0.991,0.988,0.9422622215168012,0.7467102904553502,0.017389112504634503,4.20965299288422e-06,0.009031471073144129,50,0.0,0.0,0.0,1000,1807519524
93,0.754,0.76,0.9848091456384681,0.893440674309878,0.04127590088963128,0.0026428303848474786,0.05758810875769032,50,0.0,0.0,0.0,1000,832103482
94,0.594,0.577,0.5176062116792082,0.6058083381783446,0.017292178309525858,0.0061893279859846625,0.012320127586172026,50,0.0,0.0,0.0,1000,1928628490
95,0.417,0.423,0.3616928564319253,0.37892325686508377,0.03151172463619018,0.012997656163619985,0.008613049737009543,50,0.0,0.0,0.0,1000,619179887
96,0.118,0.122,0.11207386509219741,0.20940890335871928,0.017042820130362953,0.04943318052793144,0.0016969165817255474,50,0.0,0.0,0.0,1000,514446424
97,0.752,0.75,0.7972114631697732,0.5795141236189628,0.015933534176779788,0.0020109293738899063,0.0035716986635751643,50,0.0,0.0,0.0,1000,1465647933
98,0.806,0.876,0.6888419642193002,0.7620191243556269,0.0169132898929006,0.0011293189557139525,0.032929546932706645,50,0.0,0.0,0.0,1000,1367435607
99,0.891,0.91,0.9664236609981646,0.9317045298034017,0.022197577348727262,0.0003604718290957676,0.028163836602422727,50,0.0,0.0,0.0,1000,300116172
100,0.781,0.794,0.7902201256904583,0.8722500619758823,0.017539062913724437,0.0006337126455936563,0.00015734103848895171,100,0.0,0.0,0.0,1000,1788288545
101,0.561,0.574,0.4856605317502455,0.6494599714251323,0.014660962740772204,0.003556504727351211,0.0074695720974176805,100,0.0,0.0,0.0,1000,429299595
102,0.816,0.8,0.952134270988864,0.7886232434806806,0.005977679917573018,0.0005604073940957788,0.05266695521283319,100,0.0,0.0,0.0,1000,1728507682
103,0.13,0.109,0.12812363584726744,0.25441327737082275,2.295929528688779e-06,0.023461228015265484,0.008460804767155633,100,0.0,0.0,0.0,1000,15810353
104,0.421,0.433,0.5000255183507143,0.48541625456185156,0.036704620114438334,0.006408110491285166,0.004532255728412565,100,0.0,0.0,0.0,1000,1711206423
105,0.052,0.049,0.05133323039982063,0.11878593904158838,0.0006181547055831825,0.037142162297067634,0.010806322710353936,100,0.0,0.0,0.0,1000,1689907231
106,0.313,0.314,0.33045504247872737,0.29380062663509054,0.005267632264367914,0.00993447319787631,0.00023758219198342567,100,0.0,0.0,0.0,1000,1675819612
107,0.91,0.913,0.8575364572102853,0.8421332616509388,0.0015400044436696314,0.0001633094710220733,0.01831456223894915,100,0.0,0.0,0.0,1000,1427756341
108,0.358,0.374,0.4838780841733451,0.45245594047963134,0.013602119664995397,0.00868790217453358,0.04247729336214066,100,0.0,0.0,0.0,1000,1012682731
109,0.723,0.719,0.7452012358590985,0.7044146430767699,0.00515216351933398,0.001465962751692719,0.005647913711781615,100,0.0,0.0,0.0,1000,1514331118
110,0.155,0.164,0.14258007411865808,0.3664788610690586,0.005802807652513675,0.018160245962126058,0.0229244665260382,100,0.0,0.0,0.0,1000,595114158
111,0.013,0.025,0.025855647134307942,0.03832706306990655,0.013365962573850003,0.057953582176646985,0.03809028458272781,100,0.0,0.0,0.0,1000,1676602826
112,0.417,0.38,0.4596413665120185,0.552350877845335,0.01716453476486084,0.006186197668353182,0.0010142393966667475,100,0.0,0.0,0.0,1000,1193242761
113,0.806,0.812,0.8092736065400524,0.738337992508294,0.0003254315175927482,0.0005736844502072525,0.0010955124200570003,100,0.0,0.0,0.0,1000,985514123
114,0.782,0.804,0.6792878876782138,0.6412374675479982,0.012557962239030548,0.0006781568084506411,0.01880282269065665,100,0.0,0.0,0.0,1000,1085781155
115,0.259,0.278,0.2729762175144856,0.39469457042986567,0.0008407139903304539,0.013111579277890289,0.0287573696143843,100,0.0,0.0,0.0,1000,1221362417
116,0.459,0.462,0.4483462191279993,0.5295782638147126,0.003274378605351151,0.005934257465685421,2.7991764012346257e-06,100,0.0,0.0,0.0,1000,80020205
117,0.326,0.288,0.31555092998694106,0.3580752900034596,5.198250822430273e-06,0.010384347465427516,1.4888518348309798e-06,100,0.0,0.0,0.0,1000,300211767
118,0.43,0.438,0.44958215400950874,0.5532534106770458,0.0008202804880274595,0.0064668132683035045,0.0255917057324986,100,0.0,0.0,0.0,1000,527166790
