,n=50,n=100,n=500,n=1000
"e=0.1,d=2",0.01,0.03,0.03,0.09
"e=1,d=0",0.04,0.02,0.04,0.05
"e=1.05,d=-3",0.04,0.05,0.05,0.05
"e=1.5,d=-5",0.05,0.05,0.07,0.06
"e=5,d=-10",0.12,0.21,0.13,0.25
