,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.991,0.991,0.9906754928631611,0.7211179433357531,1.585567881315975e-05,3.3265059666897776e-06,0.000773753830799259,50,0,0,0.0,1000,191664963
1,0.357,0.381,0.3604635201999792,0.6472728398059562,0.0027627049061533524,0.016713732994279373,0.00496374989555843,50,0,0,0.0,1000,1662057957
2,0.997,0.994,0.9620038608930502,0.5377445410873531,0.0013772422724442801,1.342982746557976e-06,0.023907971821148295,50,0,0,0.0,1000,1405681631
3,0.249,0.26,0.2658480538372826,0.2539236033945696,0.0013382769808392607,0.027173679178021822,0.010225010567872717,50,0,0,0.0,1000,942484272
4,0.059,0.058,0.06410623246992875,0.41092297417497925,0.04267020871481578,0.07591536865699,0.005588019140050712,50,0,0,0.0,1000,929893137
5,0.124,0.142,0.12388316618881555,0.4848905138978843,0.004944233907031992,0.04499377748214425,0.014590301814225808,50,0,0,0.0,1000,1843824992
6,0.751,0.703,0.7062076900228393,0.7912000813308563,0.013081270053618433,0.002343876535760879,0.003105826723206553,50,0,0,0.0,1000,184566854
7,0.527,0.528,0.5067401209677915,0.6021397912242532,0.0005532020417156343,0.009230549199064197,0.0016223949083494335,50,0,0,0.0,1000,1497586438
8,0.661,0.665,0.6466935911271648,0.603150726190121,0.0008760035596573039,0.004123020696394449,0.007914236169619735,50,0,0,0.0,1000,432652533
9,0.41,0.332,0.17604084648286622,0.1756013834404689,0.0562993695385771,0.018012081157179304,0.04805168652370049,50,0,0,0.0,1000,202244314
10,0.043,0.04,0.05085696657878494,0.02966532570865876,0.020527347579059357,0.07969193927600943,0.0011130921943036769,50,0,0,0.0,1000,1130604997
11,0.687,0.654,0.6691497322748041,0.6212082131263057,0.0004202835776548795,0.003922971263192825,4.9857411330441495e-06,50,0,0,0.0,1000,2095133045
12,0.76,0.714,0.6475416880581111,0.8654109597242332,0.03749221208753981,0.0024221108541005653,0.007045415564826648,50,0,0,0.0,1000,1580016183
13,0.27,0.275,0.2577222125011565,0.6876872157589786,0.014984806943817534,0.023915283911064813,0.004874142433954502,50,0,0,0.0,1000,1634535062
14,0.013,0.01,0.005401918184359041,0.25280838382643045,0.062124544083768884,0.11507703126944083,0.0208375195842011,50,0,0,0.0,1000,1540770719
15,0.34,0.33,0.3220886680989654,0.27392997866089536,0.013818883612331648,0.019279598312976962,0.0014536811354107805,50,0,0,0.0,1000,1688060240
16,0.272,0.273,0.2505574467797373,0.43790322256711056,0.0038137254194117857,0.02656985429522676,0.0035552043034888996,50,0,0,0.0,1000,1102145672
17,0.23,0.233,0.28051449527261413,0.17067322641734914,0.006568024064509765,0.02863876095263698,0.03565191506879549,50,0,0,0.0,1000,275121930
18,0.337,0.332,0.2806701155782728,0.5310623765695177,0.03404585464880647,0.018641088354457644,0.008792379538170428,50,0,0,0.0,1000,1803345590
19,0.831,0.776,0.6331732049849084,0.9911049324613111,0.062482318693455476,0.0011067419790041697,0.01827733297044813,50,0,0,0.0,1000,967196436
20,0.94,0.924,0.9161166730498316,0.8902628970007304,0.0003978336800781672,0.00016335009326888807,0.016156849612489848,50,0,0,0.0,1000,1074497555
21,0.266,0.275,0.25684430867953245,0.5558147452860078,0.017258796252541675,0.025132125833916177,0.0014763124778254765,50,0,0,0.0,1000,796282693
22,0.683,0.68,0.8329866978615879,0.37523997010232957,0.08621299513841635,0.0031195853584817606,0.008096580236145515,50,0,0,0.0,1000,392022359
23,0.119,0.168,0.14103115361646873,0.0973120215899113,0.00532459446249336,0.049076321296259336,0.02405280099106619,50,0,0,0.0,1000,1990212658
