,n=50,n=100,n=500,n=1000
"e=0.1,d=2",0.33,0.49,0.99,1.0
"e=1,d=0",0.33,0.51,0.99,1.0
"e=1.05,d=-3",0.33,0.55,0.99,1.0
"e=1.5,d=-5",0.36,0.63,1.0,1.0
"e=5,d=-10",0.47,0.62,0.97,0.96
