,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.151,0.251,0.3010956796724142,0.2498251080714287,0.07801458049047537,0.011363710524955797,0.07472592170264805,1000,0.5,0.5,0,1000,191664963
1,0.622,0.61,0.7558788404827447,0.20226016986920345,0.08325356023783982,0.005481855474784414,0.0828866113799818,1000,0.5,0.5,0,1000,1662057957
2,0.988,0.994,0.019590768234849145,0.021384793217463605,0.057273646416170554,1.3630640453392865e-05,0.07441123556116208,1000,0.5,0.5,0,1000,1405681631
3,0.072,0.09,0.14052030760929304,0.19901176740166798,0.07713353316850083,0.015938221964410568,0.09037531301168307,1000,0.5,0.5,0,1000,942484272
4,0.967,0.977,0.05487233829885009,0.04953696698318077,0.09100848003233122,0.0017314863545979382,0.10232059335204122,1000,0.5,0.5,0,1000,929893137
5,0.511,0.535,0.9898244783321817,0.5801679051484047,0.0855328369979294,0.008848223800814587,0.10264486083670016,1000,0.5,0.5,0,1000,1843824992
6,0.966,0.973,0.06637525122036131,0.026025892592187856,0.09459943733051294,0.002257432927656295,0.10531106257669332,1000,0.5,0.5,0,1000,184566854
7,0.498,0.529,0.9845836146108193,0.9079437249802793,0.10768779825464508,0.008561744637456317,0.0785542793398956,1000,0.5,0.5,0,1000,1497586438
8,0.325,0.329,0.5964814042014286,0.393490567211919,0.0667357084454224,0.008604036201932782,0.08953227872186094,1000,0.5,0.5,0,1000,432652533
9,0.87,0.871,0.2544746167067523,0.22207359114190547,0.08190035752104441,0.0029209771162517356,0.09239130384475608,1000,0.5,0.5,0,1000,202244314
10,0.25,0.281,0.48804312320827825,0.6732664623570607,0.1149861932840799,0.01456098896893301,0.08861515072320955,1000,0.5,0.5,0,1000,1130604997
11,0.722,0.745,0.5124603528393088,0.5220232757995131,0.08055655526502807,0.00513488727399928,0.10170126786070284,1000,0.5,0.5,0,1000,2095133045
12,0.767,0.857,0.4415408917213325,0.26620977316297845,0.07273764764974772,0.002719436506562981,0.07672014107754706,1000,0.5,0.5,0,1000,1580016183
13,0.595,0.615,0.7628368564113094,0.30021243882909826,0.05986705327239527,0.004846712935295181,0.10266511928521897,1000,0.5,0.5,0,1000,1634535062
14,0.047,0.062,0.06385580317558177,0.1856552353399674,0.08253100784548234,0.01779609523291077,0.07640382078275812,1000,0.5,0.5,0,1000,1540770719
15,0.436,0.541,0.8705098619117728,0.8858232235295173,0.11424346868569348,0.011433798076569635,0.09159962366293795,1000,0.5,0.5,0,1000,1688060240
16,0.258,0.249,0.4520075172840319,0.4961728566221755,0.060452051380653724,0.0077181555148846965,0.07118703230705418,1000,0.5,0.5,0,1000,1102145672
17,0.929,0.94,0.12088662207095542,0.13583239973883615,0.07244783755012703,0.0015636121426390384,0.09843515232807763,1000,0.5,0.5,0,1000,275121930
18,0.599,0.624,0.7316342246114937,0.5301057013901787,0.09015081045520833,0.004973120999945574,0.07188857647507554,1000,0.5,0.5,0,1000,1803345590
19,0.112,0.103,0.19459005458867615,0.18434051585279077,0.10371275532267113,0.011992129010169572,0.049425899427656406,1000,0.5,0.5,0,1000,967196436
20,0.465,0.515,0.9218863552881812,0.8173930077301713,0.07415988991275281,0.006203871110669363,0.07766902722519202,1000,0.5,0.5,0,1000,1074497555
21,0.262,0.324,0.48546259566867533,0.9457547002741536,0.07159575525994338,0.009593072636787934,0.08404227736406157,1000,0.5,0.5,0,1000,796282693
22,0.081,0.089,0.19084036499552887,0.25448368003829336,0.10138281823445106,0.01749044897422351,0.08858129729518174,1000,0.5,0.5,0,1000,392022359
23,0.585,0.644,0.7950673087189708,0.2446370849703702,0.07921439439118005,0.006643937943507272,0.09999548813875409,1000,0.5,0.5,0,1000,1990212658
24,0.151,0.184,0.3047093400052146,0.3337432578009817,0.09192595920457676,0.01564230490034965,0.0995798783800333,1000,0.5,0.5,0,1000,1678403330
25,0.106,0.108,0.1840011725702268,0.25511731979980246,0.09391364730334983,0.01689052989405493,0.08965109063836237,1000,0.5,0.5,0,1000,1382689815
26,0.141,0.127,0.23884599176790988,0.36364579143403597,0.0802323807806256,0.015258847878573635,0.10004065933383692,1000,0.5,0.5,0,1000,864178266
27,0.076,0.073,0.14342413351988295,0.11691557278029445,0.07782073617630456,0.015333475899062483,0.08487591712401038,1000,0.5,0.5,0,1000,1766867109
28,0.161,0.193,0.30672282660540334,0.591930482262765,0.08664387624519715,0.01331426172084877,0.0849528847736664,1000,0.5,0.5,0,1000,1171300112
29,0.794,0.845,0.4087863375747701,0.47943994867871764,0.08468590486057032,0.003258191111947179,0.07770211869813673,1000,0.5,0.5,0,1000,952224740
30,0.058,0.093,0.07798900607364206,0.0767383819124528,0.0892261235898958,0.020232678603577824,0.09396109938279486,1000,0.5,0.5,0,1000,967354524
31,0.05,0.064,0.09590508264536084,0.03083154685297522,0.07545437705959715,0.016090295789911644,0.0811845476002604,1000,0.5,0.5,0,1000,487991438
32,0.248,0.292,0.44872590013434455,0.6292013208418393,0.11814356241708743,0.017344002264727713,0.10308429865194926,1000,0.5,0.5,0,1000,197860368
33,0.887,0.878,0.2410046710553558,0.3695565059349126,0.07504210273143963,0.001744421678768713,0.07711366424837815,1000,0.5,0.5,0,1000,1190961760
34,0.02,0.035,0.03072549733379128,0.07043553297391121,0.06057790150321386,0.01779254140049426,0.08054589070642182,1000,0.5,0.5,0,1000,1906728918
35,0.843,0.868,0.2816420318210629,0.22116479229393363,0.06195020741458723,0.0010593397999886156,0.06703915091760874,1000,0.5,0.5,0,1000,137046513
36,0.888,0.967,0.17956526737096792,0.11904106432680345,0.11573247413337444,0.004030878863296312,0.08923866435972451,1000,0.5,0.5,0,1000,1843166518
37,0.586,0.596,0.8479472261025509,0.8083814277306381,0.12302112340402652,0.00854433588238563,0.07790473410794917,1000,0.5,0.5,0,1000,1777324407
38,0.777,0.817,0.45944429201286485,0.23146492686414252,0.09840404836608059,0.0037842248374268576,0.06996029642125695,1000,0.5,0.5,0,1000,594336917
39,0.295,0.385,0.597233870251261,0.5945362839811414,0.08715837903757283,0.010295923719554194,0.08520107376473349,1000,0.5,0.5,0,1000,1356488967
40,0.53,0.589,0.9399822182998537,0.6379915998641849,0.09132985410904268,0.007796869688851408,0.08961669005946053,1000,0.5,0.5,0,1000,354826746
41,0.259,0.332,0.4375938982507873,0.4051380017479641,0.10533134315213245,0.01598809260211611,0.10352583190895306,1000,0.5,0.5,0,1000,1627981024
42,0.481,0.592,0.9038713889581778,0.5553745532043346,0.08757108634792783,0.01012216799848566,0.10779239590689209,1000,0.5,0.5,0,1000,1504361614
43,0.185,0.254,0.36557726151107306,0.6054945144720548,0.06334846976434345,0.009795693852653442,0.08277238615682336,1000,0.5,0.5,0,1000,761338718
44,0.637,0.646,0.7020536567829654,0.22023943107432262,0.08657392296309771,0.006991642761367374,0.10333297792052801,1000,0.5,0.5,0,1000,145857092
45,0.804,0.835,0.4305381095312498,0.32473595316665393,0.11201773873968332,0.004960598218479773,0.0772634797101615,1000,0.5,0.5,0,1000,2084558133
