,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.788,0.784,0.779443312166917,0.7211179433357542,0.00037588740646436015,0.00165374969575122,0.0003598474466839813,50,0.0,0.0,0.0,1000,191664963
1,0.6,0.604,0.5710626920570299,0.6472728398059565,0.0005164476768893991,0.006607061827585776,0.00408817697659973,50,0.0,0.0,0.0,1000,1662057957
2,0.472,0.459,0.45456962832384107,0.5377445410873539,0.003220924660362719,0.010610745506054309,0.00978141236761577,50,0.0,0.0,0.0,1000,1405681631
3,0.685,0.686,0.6860549238110378,0.2539236033945685,0.001962323468527387,0.003127351802318779,0.004889032044246808,50,0.0,0.0,0.0,1000,942484272
4,0.255,0.255,0.2445165543839854,0.41092297417497925,0.04642338644691943,0.02916540915381272,0.0006254120824803713,50,0.0,0.0,0.0,1000,929893137
5,0.215,0.216,0.22620393063673744,0.4848905138978843,0.0026704834405978576,0.029147894004060673,0.007440936336174388,50,0.0,0.0,0.0,1000,1843824992
6,0.676,0.648,0.6436962521228604,0.7912000813308566,0.03182424220076367,0.0033473760008939668,0.0023929452007742705,50,0.0,0.0,0.0,1000,184566854
7,0.591,0.544,0.6065704220931786,0.6021397912242537,0.0022510653260233156,0.006220319647386309,0.0063615069565787965,50,0.0,0.0,0.0,1000,1497586438
8,0.726,0.726,0.7230630909348204,0.6031507261901194,0.0006716378866450587,0.0028403369952185154,0.00319473410906476,50,0.0,0.0,0.0,1000,432652533
9,0.331,0.276,0.17237217351205047,0.17560138344046877,0.04770595605955588,0.02197619425198394,0.03620916063136969,50,0.0,0.0,0.0,1000,202244314
10,0.029,0.023,0.0306238344400763,0.029665325708658808,0.016428782897398866,0.0968409772720743,0.0013656838223382321,50,0.0,0.0,0.0,1000,1130604997
11,0.54,0.537,0.5533704390471592,0.6212082131263061,1.7871563839233395e-06,0.007515389137252432,0.0031634377925749174,50,0.0,0.0,0.0,1000,2095133045
12,0.857,0.858,0.9960085871275232,0.8654109597242341,0.045119195816892395,0.000696652461684982,0.01628330332907645,50,0.0,0.0,0.0,1000,1580016183
13,0.782,0.797,0.747433628939816,0.6876872157589777,0.032470120460549916,0.001596728180185497,0.0012753356343249706,50,0.0,0.0,0.0,1000,1634535062
14,0.241,0.246,0.11293332156861838,0.25280838382642945,0.06173612469323077,0.029466161217664922,0.03510885500602937,50,0.0,0.0,0.0,1000,1540770719
15,0.24,0.277,0.2606128434976769,0.273929978660895,0.022350491268177848,0.02625078082435461,1.0415673273990497e-08,50,0.0,0.0,0.0,1000,1688060240
16,0.368,0.367,0.3391230488411039,0.437903222567111,0.007568463475621805,0.017706618247253197,0.004151000205637123,50,0.0,0.0,0.0,1000,1102145672
17,0.064,0.063,0.0697881824218893,0.1706732264173494,0.00800704064295258,0.07385955563946282,0.029906141407132582,50,0.0,0.0,0.0,1000,275121930
18,0.539,0.537,0.43303369311357,0.5310623765695174,0.05141740929861135,0.007500932992402653,0.011533307124233257,50,0.0,0.0,0.0,1000,1803345590
19,0.97,0.96,0.7853343867785318,0.9911049324613128,0.05612954502944448,5.6808233458921224e-05,0.017033062981220422,50,0.0,0.0,0.0,1000,967196436
20,0.828,0.827,0.7999862396661822,0.8902628970007304,0.001385915999169839,0.001284407560518366,0.0011379293077797825,50,0.0,0.0,0.0,1000,1074497555
21,0.656,0.645,0.5543913389489115,0.5558147452860069,0.028887118839637186,0.004288293036920584,0.012813486324029176,50,0.0,0.0,0.0,1000,796282693
22,0.225,0.247,0.35607891735375297,0.3752399701023311,0.08639526269993261,0.02939083267656665,0.022546637592454243,50,0.0,0.0,0.0,1000,392022359
23,0.109,0.109,0.11570225654125661,0.09731202158991115,0.0037281797182978555,0.05476096724914037,0.02499815944629541,50,0.0,0.0,0.0,1000,1990212658
24,0.538,0.511,0.5337098497527574,0.4018149906342615,0.00036249420883577305,0.008094327262715376,0.199664282721313,50,0.0,0.0,0.0,1000,1678403330
25,0.359,0.352,0.3818790990956006,0.3938743244214912,0.002775293264220338,0.015846583469304797,0.0009060134559651498,50,0.0,0.0,0.0,1000,1382689815
26,0.921,0.911,0.9388030515031263,0.8972235072321748,0.028317228380282364,0.0002482934721830097,0.025201752416221565,50,0.0,0.0,0.0,1000,864178266
27,0.493,0.498,0.4263104866028753,0.4092631597171308,0.004462441371438798,0.009895364781195452,0.043692601345218886,50,0.0,0.0,0.0,1000,1766867109
28,0.468,0.489,0.7194679813887364,0.8537254508285411,0.07447391034489352,0.011975052988958105,0.048396692361665834,50,0.0,0.0,0.0,1000,1171300112
29,0.034,0.041,0.03392834877135804,0.08886919613129052,0.00036341040064288203,0.08861347133216971,0.02068682988365027,50,0.0,0.0,0.0,1000,952224740
30,0.489,0.49,0.44934224801647593,0.20290105096565889,0.002586993993217068,0.01041170645043964,0.020477387484485143,50,0.0,0.0,0.0,1000,967354524
31,0.248,0.238,0.22980089434063117,0.2664255467270182,0.024723437941584697,0.03059376795988775,0.00022592565293948823,50,0.0,0.0,0.0,1000,487991438
32,0.381,0.395,0.45296903514306475,0.5454963330231262,0.009230473947883542,0.01716458205517519,0.07222739428416945,50,0.0,0.0,0.0,1000,197860368
33,0.103,0.108,0.10913539181507016,0.18656497587835763,0.0034757588446335955,0.056910957108621506,0.0794493955708302,50,0.0,0.0,0.0,1000,1190961760
34,0.374,0.363,0.43669233374145133,0.40407738490346645,0.01670843045119455,0.01884182992354308,0.04370682572093078,50,0.0,0.0,0.0,1000,1906728918
