,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.27,0.277,0.5573241771231967,0.27955690380179443,0.18676456912839914,0.03990745939969837,0.182485221017482,1000,0.5,0.5,0,1000,191664963
1,0.692,0.708,0.6002400751692019,0.2389132654300625,0.19258200040206708,0.03189444558817157,0.1914255569969047,1000,0.5,0.5,0,1000,1662057957
2,0.989,0.99,0.02428968532350712,0.06708892552456058,0.15446031172580998,0.011496341756402685,0.17963872603861153,1000,0.5,0.5,0,1000,1405681631
3,0.111,0.107,0.22149020629982635,0.08816623148948216,0.18800825476464006,0.051318518836965206,0.2030676032367957,1000,0.5,0.5,0,1000,942484272
4,0.977,0.971,0.031193106991374453,0.15305139488847863,0.20915814390689252,0.027505942300465304,0.22944809280106768,1000,0.5,0.5,0,1000,929893137
5,0.512,0.485,0.9809469559916125,0.8566725162070942,0.19659004956612974,0.04399904396190846,0.22253703712161463,1000,0.5,0.5,0,1000,1843824992
6,0.966,0.971,0.04385023951995582,0.030213793237225322,0.21124806109461683,0.02865387698630723,0.22718718848899688,1000,0.5,0.5,0,1000,184566854
7,0.543,0.535,0.8892559360800902,0.8303481152509242,0.23817908713520963,0.044109449279149775,0.19135055780947086,1000,0.5,0.5,0,1000,1497586438
8,0.397,0.36,0.731382632661828,0.28425043057874205,0.18656115351859956,0.04401383299171779,0.21680435596094352,1000,0.5,0.5,0,1000,432652533
9,0.883,0.878,0.21440225514362105,0.3484617340318572,0.1996161758026207,0.03045557152545999,0.21204556352428303,1000,0.5,0.5,0,1000,202244314
10,0.298,0.291,0.5580873513978767,0.43816261707297766,0.2374009921828434,0.0554052520469393,0.2056275279964539,1000,0.5,0.5,0,1000,1130604997
11,0.749,0.775,0.43800513021020104,0.7699758908573886,0.19901135132308562,0.03656786299554228,0.2228805226831229,1000,0.5,0.5,0,1000,2095133045
12,0.854,0.857,0.2566792230575941,0.2945982937942717,0.18732544345020685,0.025930174752705294,0.19295363747241553,1000,0.5,0.5,0,1000,1580016183
13,0.619,0.613,0.7332605136744241,0.477817934664442,0.16806277761979185,0.035979114289274874,0.23397635252568033,1000,0.5,0.5,0,1000,1634535062
14,0.072,0.08,0.11729161719910831,0.14610021938997755,0.20525782301069856,0.05825628415281002,0.19837185008625147,1000,0.5,0.5,0,1000,1540770719
15,0.556,0.552,0.9504680558580334,0.8901998650535008,0.23177344296491229,0.04875749373785298,0.21329204149846887,1000,0.5,0.5,0,1000,1688060240
16,0.279,0.285,0.517451822568345,0.3205828116912543,0.1628181386615895,0.03522491061849862,0.1789312715866817,1000,0.5,0.5,0,1000,1102145672
17,0.954,0.957,0.06400384304047281,0.16375443474277585,0.19018069608689625,0.0247011169624356,0.21840513968504277,1000,0.5,0.5,0,1000,275121930
18,0.651,0.638,0.6695710241274938,0.8701442601879814,0.20591192881922996,0.033281198534278966,0.181515391165073,1000,0.5,0.5,0,1000,1803345590
19,0.141,0.149,0.2839534945250972,0.12171349743913802,0.2250955144330842,0.04611991856711599,0.15586959934987932,1000,0.5,0.5,0,1000,967196436
20,0.507,0.498,0.9910640046833903,0.957652768098342,0.19279104176252174,0.03759722956970946,0.1955909392917865,1000,0.5,0.5,0,1000,1074497555
21,0.388,0.377,0.7246243582562304,0.8806642211789827,0.20017448298918258,0.046102739425910984,0.2116954843925775,1000,0.5,0.5,0,1000,796282693
22,0.125,0.153,0.2400717554033093,0.15484598544613593,0.22885143259986446,0.062480798886531665,0.21339172452237604,1000,0.5,0.5,0,1000,392022359
23,0.663,0.662,0.5989494287158847,0.4574551970026719,0.19125397173376885,0.0361389301520684,0.21624377846393952,1000,0.5,0.5,0,1000,1990212658
24,0.194,0.224,0.4112857999684545,0.1834038806466909,0.21540715080325787,0.057991652008580315,0.22577901320335303,1000,0.5,0.5,0,1000,1678403330
25,0.125,0.136,0.1916185667089274,0.08512730627353679,0.21276690378257498,0.05965624744525418,0.21053847538461948,1000,0.5,0.5,0,1000,1382689815
26,0.17,0.138,0.2817731813961887,0.235161286624337,0.20283822882750824,0.05899111440316422,0.23040381607144364,1000,0.5,0.5,0,1000,864178266
27,0.11,0.107,0.17324868645475022,0.05001927415034045,0.19049458964521432,0.053336188042510106,0.20227152014796004,1000,0.5,0.5,0,1000,1766867109
28,0.21,0.208,0.3907343486051611,0.4542017415155556,0.21075478919189794,0.05216514747562606,0.20299167087294784,1000,0.5,0.5,0,1000,1171300112
29,0.865,0.853,0.22855076929760224,0.5323594635151285,0.18674523239930346,0.022321430082172862,0.17473638080015605,1000,0.5,0.5,0,1000,952224740
30,0.111,0.116,0.19194474599060413,0.08825045676350136,0.20582630241793484,0.059523947435690054,0.21711638283064572,1000,0.5,0.5,0,1000,967354524
31,0.089,0.097,0.1439119515086799,0.006072030570915458,0.18685950786241,0.05226076822085031,0.19561248882934604,1000,0.5,0.5,0,1000,487991438
32,0.31,0.312,0.606744757357857,0.4659468877779682,0.2428980544485344,0.06051278026279453,0.2244653784826662,1000,0.5,0.5,0,1000,197860368
33,0.888,0.89,0.1970434523779132,0.551191566648486,0.19020911443968008,0.025124733471054105,0.19286476730526975,1000,0.5,0.5,0,1000,1190961760
34,0.04,0.029,0.050827078200883606,0.041646403411170756,0.1643615843883278,0.05192172450316802,0.19068682910850743,1000,0.5,0.5,0,1000,1906728918
35,0.87,0.861,0.22019177564348041,0.2629231877104258,0.17855440092389915,0.022111871959474658,0.18249783868907385,1000,0.5,0.5,0,1000,137046513
36,0.956,0.958,0.05417680824891017,0.08383567252696775,0.24678739601729974,0.033371814299121214,0.2135712723741328,1000,0.5,0.5,0,1000,1843166518
37,0.574,0.615,0.8911617697327265,0.9885463128514256,0.25065065261144365,0.04802481449893112,0.1975233628064908,1000,0.5,0.5,0,1000,1777324407
38,0.837,0.833,0.330355868448979,0.48057954716938267,0.22356228995327265,0.031997235503405316,0.18505651558783404,1000,0.5,0.5,0,1000,594336917
39,0.41,0.419,0.8047301585506379,0.6864392192024684,0.21182218654726165,0.04647061956030886,0.20696336661588902,1000,0.5,0.5,0,1000,1356488967
40,0.601,0.616,0.7724186862321337,0.8899500950336747,0.20999708392671185,0.041069469642193115,0.20979223623326915,1000,0.5,0.5,0,1000,354826746
41,0.353,0.348,0.6458444829116134,0.4054195785468543,0.2300290046247508,0.056658042007840345,0.22356561507294082,1000,0.5,0.5,0,1000,1627981024
42,0.636,0.642,0.7513847690114284,0.6462306104007083,0.207604041757418,0.04478173387546566,0.23196372853208017,1000,0.5,0.5,0,1000,1504361614
43,0.264,0.307,0.5496711622747685,0.5482565327153408,0.17389614912948473,0.0412139993976088,0.20244990233612653,1000,0.5,0.5,0,1000,761338718
44,0.669,0.636,0.6736826430756704,0.3164787103891641,0.19792346402262906,0.038738091414422436,0.21730691118946904,1000,0.5,0.5,0,1000,145857092
45,0.836,0.859,0.3131566032942658,0.39611347489059634,0.22939894602815122,0.030993661173651686,0.1769749855397021,1000,0.5,0.5,0,1000,2084558133
46,0.854,0.841,0.2821709812703493,0.48771802668391073,0.15794353940356246,0.020284042376191753,0.18437371724552068,1000,0.5,0.5,0,1000,957106589
47,0.37,0.386,0.7182246142936539,0.6646096172840956,0.18701847902616636,0.04142131031633777,0.20189652963631338,1000,0.5,0.5,0,1000,1917963002
48,0.337,0.327,0.6759580149565663,0.47594590717866936,0.21899490036145278,0.04254781512865098,0.1747787678263678,1000,0.5,0.5,0,1000,1455819991
49,0.071,0.06,0.0923300813273233,0.1361561144795577,0.20515906459515687,0.054540632665405236,0.17677213828949526,1000,0.5,0.5,0,1000,1671565830
50,0.154,0.165,0.2602892278695592,0.09692668772658371,0.1729612823239856,0.04331023038389622,0.18492239268241376,1000,0.5,0.5,0,1000,1631871623
51,0.884,0.9,0.19976180080552403,0.601056866866915,0.18553514023829568,0.02164704141656019,0.17541312703187334,1000,0.5,0.5,0,1000,417983441
52,0.122,0.119,0.1670290912513589,0.230619999844123,0.1694833265189369,0.052743768400566896,0.223252673191899,1000,0.5,0.5,0,1000,781482251
53,0.596,0.595,0.8137294890686023,0.9086713642309148,0.1884904045164958,0.03995672996958175,0.22472541006564806,1000,0.5,0.5,0,1000,1002275723
